Date,AMZN,EQIX,FANG,GOOGL,MPC,UNH
2013-12-31,398.7900085449219,177.4499969482422,52.880001068115234,560.9158935546875,45.8650016784668,75.30000305175781
2014-01-02,397.9700012207031,174.75999450683594,51.15999984741211,557.1171264648438,44.7400016784668,74.56999969482422
2014-01-03,396.44000244140625,173.4199981689453,49.18000030517578,553.0530395507812,44.130001068115234,75.0999984741211
2014-01-06,393.6300048828125,174.17999267578125,48.56999969482422,559.21923828125,44.35499954223633,74.23999786376953
2014-01-07,398.0299987792969,179.58999633789062,48.38999938964844,570.0,44.5,76.51000213623047
2014-01-08,401.9200134277344,180.2899932861328,47.61000061035156,571.1861572265625,44.34000015258789,75.62000274658203
2014-01-09,401.010009765625,177.49000549316406,45.52000045776367,565.6856689453125,45.52000045776367,76.08000183105469
2014-01-10,397.6600036621094,179.00999450683594,46.970001220703125,565.6556396484375,45.48500061035156,74.69999694824219
2014-01-13,390.9800109863281,174.9199981689453,44.43000030517578,562.0520629882812,44.08000183105469,73.94000244140625
2014-01-14,397.5400085449219,178.74000549316406,47.0099983215332,575.2752685546875,44.54999923706055,74.0199966430664
2014-01-15,395.8699951171875,179.52999877929688,48.02000045776367,574.8848876953125,43.32500076293945,74.83999633789062
2014-01-16,395.79998779296875,179.47999572753906,48.61000061035156,578.6886596679688,42.849998474121094,72.76000213623047
2014-01-17,399.6099853515625,175.8699951171875,48.5099983215332,575.8408203125,42.63999938964844,72.5199966430664
2014-01-21,407.04998779296875,179.2899932861328,49.08000183105469,582.4324340820312,43.165000915527344,73.16000366210938
2014-01-22,404.5400085449219,178.97000122070312,51.220001220703125,583.0930786132812,42.790000915527344,73.4000015258789
2014-01-23,399.8699951171875,182.63999938964844,50.439998626708984,580.630615234375,42.720001220703125,73.19999694824219
2014-01-24,387.6000061035156,183.8800048828125,48.869998931884766,562.4774780273438,41.4900016784668,71.5999984741211
2014-01-27,386.2799987792969,181.07000732421875,47.540000915527344,551.1661376953125,41.75,71.6500015258789
2014-01-28,394.42999267578125,182.60000610351562,49.79999923706055,562.0670776367188,41.584999084472656,71.70999908447266
